rank,style,n
1,Stout - American Imperial,77
2,IPA - New England,54
3,Farmhouse Ale - Saison,18
4,Wild Ale,15
5,IPA - Imperial,14
6,Stout - Russian Imperial,14
7,Lambic - Fruit,7
8,Porter - Imperial,7
9,Pale Ale - American,6
10,Stout - Sweet / Milk,6
11,Barleywine - American,5
12,Lambic - Gueuze,5
13,Barleywine - English,4
14,Quadrupel (Quad),3
15,Stout - Oatmeal,3
16,Strong Ale - American,3
17,Sour - Fruited Kettle Sour,2
18,Bière de Champagne / Bière Brut,1
19,IPA - American,1
20,Lambic - Traditional,1
21,Old Ale,1
22,Porter - American,1
23,Sour - Berliner Weisse,1
24,Stout - American,1
